,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Seville,Seville,GPE,0.00000000,0.28333333,en,1.00000000,4054671-8,2510911,P,37.38283000,-5.97317000,EUROPE-AFRICA,Spain,MED
Alta,Alta,GPE,0.10000000,1.00000000,en,1.00000000,4280282-9,3598119,P,15.47025000,-90.37455000,CENTRAL-AMERICA,Guatemala,SCA
Nyrud,Nyrud,GPE,0.00000000,0.00000000,en,1.00000000,,9452981,S,64.93613000,11.63524000,EUROPE,Norway,NEU
Pasvik,Pasvik,GPE,0.00000000,0.00000000,en,1.00000000,4321324-8,512278,H,69.13869000,29.23942000,EUROPE,Norway,NEU
Marseille,Marseille,GPE,0.00000000,0.00000000,en,1.00000000,4037694-1,2995469,P,43.29695000,5.38107000,EUROPE-AFRICA,France,MED
Peru,Peru,GPE,0.00000000,0.00000000,en,1.00000000,4045312-1,3932488,A,-10.00000000,-75.25000000,SOUTH-AMERICA,Peru,NWS
Havana,Havana,GPE,0.00000000,0.00000000,en,1.00000000,4023865-9,3553478,P,23.13302000,-82.38304000,CENTRAL-AMERICA,Cuba,CAR
Namdalen,Namdalen,GPE,0.00000000,0.00000000,en,1.00000000,4594150-6,3145030,T,69.55515000,19.45972000,EUROPE,Norway,NEU
NEW JERSEY,NEW JERSEY,GPE,0.12424242,0.43636364,en,1.00000000,4442932-0,5099836,P,40.72816000,-74.07764000,NORTH-AMERICA,United States,ENA
Målselvvassdraget,Målselvvassdraget,LOC,0.90000000,1.00000000,en,1.00000000,,0,,,,,,
Dombås,Dombås,GPE,0.00000000,0.03333333,en,1.00000000,1054089-1,3159107,P,62.07554000,9.12785000,EUROPE,Norway,NEU
Gudbrandsdalen,Gudbrandsdalen,GPE,0.00000000,0.03333333,en,1.00000000,4086847-3,9728984,T,59.86365000,10.88771000,EUROPE,Norway,NEU
Val d'Isère,Val d'Isère,GPE,0.05000000,0.20000000,en,1.00000000,4119342-8,2971074,P,45.45142000,6.97455000,EUROPE,France,WCE
Stavanger,Stavanger,GPE,-0.29166667,0.54166667,en,1.00000000,4057047-2,3137115,P,58.97005000,5.73332000,EUROPE,Norway,NEU
Saudi Arabia,Saudi Arabia,GPE,0.00000000,0.10000000,en,1.00000000,4051788-3,102358,A,25.00000000,45.00000000,ASIA,Saudi Arabia,ARP
Madrid,Madrid,GPE,0.00000000,0.10000000,en,1.00000000,4036862-2,3117735,P,40.41650000,-3.70256000,EUROPE-AFRICA,Spain,MED
